-折花载酒少年事--,1765297215,爱情，赌赢了，叫爱情。赌不赢叫青春啊！,2019-12-13 16:43:36
世俗烟火52,1810773221,不断去追求，不断去试着改变自己，在高中3年相信自己能找到属于我自己的答案！愿这首歌能陪伴我高中3年最难熬的时候！,2019-12-13 16:42:17
AC-15,46425449,这几天每天就偷偷着哭，也许呢，也许就差了一点点呢,2019-12-13 16:40:54
深山没有派对,517922995,☁️☁️🌞　　　☁　　　☁　　 ☁　✈　　 ☁　　🚁　🏬🏨🏫🏢🏤🏥🏦🏪👬🌲/　🚶  l🚍　 \🌳🍃[牵手]　🌳/　🚘.  l 🏃  　\🌴🐈🌴 /　 🐢　l　🚔 　\🌲💃🏻🕺🏻🌲 /🚖　　  l　　　　\🌳👭,2019-12-13 16:40:33
烦躁烦躁烦躁,474162103,现在你知道了吗？,2019-12-13 16:38:40
二次元的某君,449479216,加油  陌生人,2019-12-13 16:38:28
烦躁烦躁烦躁,474162103,还瞎操心你的,2019-12-13 16:38:25
烦躁烦躁烦躁,474162103,我自己存在的问题都没有解决,2019-12-13 16:38:11
烦躁烦躁烦躁,474162103,自己把自己绕进去的,2019-12-13 16:37:26
绵羊是我,1814553751,歌词去哪了,2019-12-13 16:37:26
烦躁烦躁烦躁,474162103,如果我可以忘掉就好了，大概忘不掉吧,2019-12-13 16:37:03
烦躁烦躁烦躁,474162103,因为一个东西，搞得我那么深的执念。真的要命。,2019-12-13 16:36:22
网猪你的音乐18,600281305,同城,2019-12-13 16:36:03
烦躁烦躁烦躁,474162103,我觉得我的状态十分糟糕。你们说的我也没有办法去也没有必要去确认。,2019-12-13 16:36:00
研妍妍,394824704,天就要亮了 熬着呗 就7天 看谁熬的过谁 ！！！,2019-12-13 16:35:19
学徒何旭东,326933111,哎，吵一架，好久没吵了，切磋一下，,2019-12-13 16:33:42
嘻哈你个慢摇滚,442484306,歌词呢？？？,2019-12-13 16:33:35
海堤是剁碎水花的铡刀,396925214,你是年轻人，你一言不发，从早到晚高兴三次，痛苦三次，外面吹起的风飘下的雪都是情绪波动，你发现自己像片落叶躺在河底，看见岸上的你在练习快乐，万物躺在你的臂弯里，真快活啊。 但你一言不发、你欲言又止，最后你提笔写下，孩子，从河流里出来吧，放弃温柔的水，我们一起走出山脉。,2019-12-13 16:31:45
Say_yang,287364527,歌词我已经安排人去弄了,2019-12-13 16:31:31
要好好照顾好自己呀,1943520884,这一生我知道会遇到太多的坎但是我知道我的后背是家人的爱我有勇气我能抵达,2019-12-13 16:30:12
此去经年-丢掉了所有,269762443,上学的路上会故意走在她的前面，以为她会偷偷的看自己。下课时故意在离她不远的地方与同学大声说话，以为她会注意到自己！你在等待那个答案吗？,2019-12-13 16:29:55
浪子L易,1648410492,太多太多时候不知道答案，反而更好，多希望当一个失智之人,2019-12-13 16:29:23
2436-yl,504224987,我们都是意气风发的少年，我们都值得更好的未来,2019-12-13 16:29:05
白泽190310,1790020187,特别喜欢，低着头，期待白昼,2019-12-13 16:28:32
我是鹿兮啊,636731988,这么励志的歌，能扯上爱情，服了,2019-12-13 16:26:45
有人找我嘛,621338096,Tui~,2019-12-13 16:25:11
DesPair190224,1774688441,受教,2019-12-13 16:23:56
二号男嘉宾A,1830958144,回来陪我好吗,2019-12-13 16:22:23
南风在0119,1885492692,2019快点过去吧，这一年真是糟糕透了。。。,2019-12-13 16:21:43
小北鸭鸭鸭鸭,16457290,有了过程 你就会有结果 但不一定是你想要的,2019-12-13 16:21:04
欣爺啊ll,1331112993,等待你的答案,2019-12-13 16:20:39
小北鸭鸭鸭鸭,16457290,对 无关于她,2019-12-13 16:18:16
小北鸭鸭鸭鸭,16457290,先别那么急开始找别的事做吧 让情绪有发泄的机会吧  对自己现在的情绪好一点 耐心一点 像√曾经的她 以后就会少一些难受 别问我怎么知道 我就是知道,2019-12-13 16:17:33
仙女味的吴迪,1344812132,前几天听到这首歌觉得好听，但是不知道叫什么，后来在逛街时候又听到了！找了好多天了！！！终于找到了！,2019-12-13 16:17:18
_冰是睡着的水yy,362224525,我只能希望下一次比较顺畅就好,2019-12-13 16:17:04
一青见一,1955629060,有些人 不管你想不想给 它都不会要,2019-12-13 16:16:14
肆贰八fighting,624088511,考研加油，大概已经知道结果了，身边的人大多都放弃了，可我还是不想放弃，我会一直努力到考试那天,2019-12-13 16:16:00
看见我评论了记得喊我睡觉,1927093165,别追了她不喜欢你怎么都没用,2019-12-13 16:15:33
看见我评论了记得喊我睡觉,1927093165,加油💪💪💪,2019-12-13 16:15:06
今天也是可爱的三岁琪琪,1496714542,元旦晚会的时候三个学长合唱这首歌   超超超超好听！,2019-12-13 16:14:49
小北鸭鸭鸭鸭,16457290,你没有自作多情  只是没有经营好那一点情  既然他会让你有多情的感觉 总是有情在里面的,2019-12-13 16:14:49
1275851504,1756438308,别人的评论都是抒情，你来搞笑的吗姐妹,2019-12-13 16:14:36
1275851504,1756438308,这么懂啊,2019-12-13 16:13:41
看见我评论了记得喊我睡觉,1927093165,你在哪,2019-12-13 16:13:34
1275851504,1756438308,加油,2019-12-13 16:13:19
极致winter,566806400,如果哪天有了歌词，请记得有我贡献的积分,2019-12-13 16:13:17
复杂的简体,2071047968,给了以后！她说…我不想要橘子！我喜欢苹果！,2019-12-13 16:12:21
看见我评论了记得喊我睡觉,1927093165,今天他和我提分手了..,2019-12-13 16:10:52
要说晚安,251492176,我想知道你给我的答案.,2019-12-13 16:10:22
YANG2566,579222881,黎明的那道光，会越过黑暗，踏破一切恐惧，我能找到答案。[星星],2019-12-13 16:09:30
孟帅强,2063104045,加油,2019-12-13 16:06:48
soul-messenger,1759219831,是对是错，早在想之前就已经知道答案了。,2019-12-13 16:06:23
衍戈,540268562,努力吧，世界还很美好，在遇到下一个心动的人之前。之后要幸福。,2019-12-13 16:06:21
wlovelye,1450637526,那个商小北走了 他再也回不来了,2019-12-13 16:06:18
野肆豳,630096124,不要轻易去打破那层关系😊,2019-12-13 16:06:13
敷衍你的伪善,1309685507,努力吧，毕竟努力踏实。运气会时而不靠谱[多多捂脸],2019-12-13 16:05:54
幼稚園班長S,2072647585,加油哦。[强],2019-12-13 16:05:39
Emoi-L,109420393,谢谢 但愿如此,2019-12-13 16:04:33
A北冥A686,1395495927,[可爱]坚持,2019-12-13 16:04:19
幼稚園班長S,2072647585,哈哈，真好[多多大笑][多多大笑][多多大笑],2019-12-13 16:03:47
隬欸,377898863,[多多可怜]   突然自己在新年的迎新晚会上唱了这首歌很荣幸，谢谢这个答案让我明白自己现在的答案是什么,2019-12-13 16:02:28
