name,id,comment,time,positive_prob,sentiment
Retry-,561005958,有种我的滑板鞋的感觉？,2019/12/13 17:08,0.380613,0.0
紫金孤枭,1393196925,第一次听完就被洗脑了，循环了十几遍 呆 ,2019/12/13 17:07,0.40445,0.0
shang毛,1434868508,同城诶 会不会认识？,2019/12/13 17:07,0.364432,0.0
丶孑丶然一身,1496964474,对不起，憋不住了,2019/12/13 16:57,0.113139,0
AAA王禹顺,1709176933,完，这首歌已经被社会人发现了,2019/12/13 16:55,0.319026,0
仙男柠七,1908161515,确定不崩溃,2019/12/13 16:53,0.107104,0
shawty小禁,376458500,前奏一响起还以为是relax 两首都在列表了 幽灵 ,2019/12/13 16:53,0.401409,0
宗政永山1810,1625495980,不知道为什么听着就想哭,2019/12/13 16:49,0.272849,0
常贵华1911,2044735852,笑死我？？,2019/12/13 16:45,0.256435,0
jffcvv,128723577,这口音太重了吧,2019/12/13 16:40,0.121384,0
南枕zinc,450484375,太窒息了,2019/12/13 16:35,0.1675,0
可爱要加糖1910,1898524630,害，去年这个时候我也是一名奋战高考的江苏考生,2019/12/13 16:32,0.379443,0
b宙问,1830603396,那你是被死神吻过？,2019/12/13 16:29,0.220628,0
遇不见的路人,422747957,腻害腻害,2019/12/13 16:24,0.340825,0
林宇晟,1953164095,你想笑死我,2019/12/13 16:24,0.40111,0
澄澄b,288964797,好难听。。。。,2019/12/13 16:23,0.395178,0
Ycdi_,415545007,听到最后为啥听得我头晕想吐？？ 生病 ,2019/12/13 16:22,0.113685,0
病人快不行了,132316175,开始都没分清,2019/12/13 16:17,0.443266,0
嘻嘻嘻卧槽,1402998621,我也觉得不咋地啊！,2019/12/13 16:08,0.165819,0
工号jo527,1653722798,声音扁扁的 人却鼓鼓的，差点给我笑呛死,2019/12/13 16:04,0.11779,0
昏睡的小天爱做梦,426436387,这是英文？？？,2019/12/13 15:56,0.236806,0
亓肀,304872602,奇幻的被这奇特的嗓音吸引 大哭 大哭 大哭 ,2019/12/13 15:55,0.435837,0
香丘下,388701732,完了完了被某音发现了！,2019/12/13 15:52,0.229252,0
惘昕殇汐,1570926298,我朋友经常放，我现在觉得很恶心 发怒 ,2019/12/13 15:52,0.424403,0
祢小媽,413124678,你没品。,2019/12/13 15:40,0.25054,0
每天放学,587428394,我TM就服你,2019/12/13 15:25,0.296092,0
SUPERTRAMP-WSS,426094946,第一遍 这什么玩意 第二遍 yeah dance with me dance with me wow,2019/12/13 15:13,0.4245,0
alan444,420499142,听到这个声音的第一印象是外国也有哪吒？,2019/12/13 15:08,0.308508,0
Lil-Billy,50370265,为什么这个声音我能想到洗牙姐 ,2019/12/13 14:57,0.418066,0
芹泽百兽之王,1714140300,pipi？,2019/12/13 14:53,0.377106,0
#NAME?,255503445,这嗓子有点雷鬼的味道,2019/12/13 14:52,0.435477,0
v似梦非梦v,1615515830,这节奏有些上头,2019/12/13 14:43,0.435796,0
漫步晨曦,40838863,这声音？好像毒后啊！,2019/12/13 14:40,0.23629,0
Tdyipc7,487293130,怎么一股咖喱味 ,2019/12/13 14:18,0.217078,0
余小shuai,104065887,有没有抖音小男孩过来的,2019/12/13 14:16,0.283194,0
一介俗人丶0o,305034504,我差点当场去世,2019/12/13 14:16,0.432494,0
每当我听到好听的歌都收集起来,57242605,大妈音加萝莉音,2019/12/13 14:14,0.373401,0
enchantant,100884043,女歌手讲话声音甜甜的啊，有些现场的歌声音也正常，这首歌有些咬字是不是夸张了点 大哭 我第一次听真的是觉得什么玩意？！,2019/12/13 14:13,0.285223,0
世界nihao,15611681,抖腿 ,2019/12/13 14:13,0.28095,0
人生休闲25,367909099,第一次不好听第二次呦吼有特点第三次刷就完了,2019/12/13 14:12,0.445948,0
JS_与我,341199978,音乐一出全身都在抖,2019/12/13 14:10,0.434661,0
内马尔iJLJ1,2070417074,我曾经也是,2019/12/13 14:08,0.448616,0
星空璀璨170727,551478755,抖音过来的,2019/12/13 13:41,0.325622,0
larryShepherd,398380107,谁能告诉我这是哪里的口音 多多可怜 ,2019/12/13 13:26,0.26224,0
微小明,1782067705,被天使吻过的嗓子，被食神供养过得身躯,2019/12/13 13:26,0.416769,0
娃的娃娃,273681077,于性无关，那兄弟不香吗，何必遭难,2019/12/13 13:22,0.236054,0
Di-Lettante,120238840,我跟你嗦，我唱歌超壕婷你晓得伐,2019/12/13 13:13,0.33481,0
桔子树花下,645003793,刚出来那会儿下载不要钱，我果断给我妈设成了铃声 西西奸笑 ,2019/12/13 13:09,0.313054,0
云端吸喵,43115851,我朋友说这不好听，现在进了ICU,2019/12/13 13:01,0.254684,0
喵喵喵珍,61350670,太上头了,2019/12/13 12:52,0.221276,0
晚安猫仙仙,1424515755,被鸭子掐过？,2019/12/13 12:48,0.236843,0
在寒假装死的王羽,314529268,ky了啊，一点也不像,2019/12/13 12:24,0.287581,0
_个小可爱,626325272,第一次听到这样的嗓音 ,2019/12/13 12:04,0.415584,0
YING_11,395384085,这旋律 口音 真的模型 ,2019/12/13 11:41,0.446152,0
挑剔的音乐疯子,1602968,不删留着过年？,2019/12/13 11:33,0.178593,0
凡冰17,1686662608,不是第一次听了，但是突然觉得好好听，看来听歌跟心情有很大的关系,2019/12/13 11:14,0.375764,0
草鱼哈,1364001817,因为它难听又好听,2019/12/13 10:46,0.377468,0
咿呀咿呀白邦妮,370708213,这个唐老鸭变声了么,2019/12/13 10:36,0.378454,0
猫红了顔,576645495,还好只是删了，不是杀了,2019/12/13 10:03,0.124505,0
HionE丶,114044193,你说不予置评为什么还评论？秀啥？,2019/12/13 9:48,0.107487,0
