name,id,comment,time,positive_prob,sentiment
0959D,356748512,找了好久,2019/12/13 17:08,0.566805,2.0
shang毛,1434868508,同美术生,2019/12/13 17:07,0.568585,2.0
你渴吗丶灌你喝水,564346359,听这首歌每次都会在脑海想象小丑女的模样,2019/12/13 17:01,0.662775,2
东城以旧,558822618,魔性起飞,2019/12/13 17:00,0.607528,2
Mr_dense,416904612,这嗓音好上头 大哭 ,2019/12/13 16:53,0.628012,2
-Ctrl-C-,64318332,“百因必有果，你的报应就是我” 韩美娟,2019/12/13 16:42,0.801304,2
CC丶带感,437404191,多听几遍，，，，你会get到的,2019/12/13 16:33,0.683788,2
walyz颜乐,340582057,打破4892赞26回复可惜,2019/12/13 16:29,0.892694,2
林宇晟,1953164095,但是很喜欢,2019/12/13 16:23,0.888757,2
嘻嘻嘻卧槽,1402998621,希望世界安静 让所有情绪都见鬼.,2019/12/13 16:09,0.700577,2
注意小菊花,1510633457,来自天堂的魔鬼 哈哈哈 ,2019/12/13 16:04,0.748064,2
Chelsea0621,293738806,哈哈哈哈 大哭 ,2019/12/13 16:00,0.730973,2
沈奕星-,528297870,你也太狠了哈哈哈哈哈哈,2019/12/13 15:56,0.786439,2
岛田川樱,1822510913,哈哈哈哈操，优秀优秀,2019/12/13 15:53,0.886401,2
老肆说老叁的老贰老大了,386980019,默默祝文刀小队长同志考研成功嘻嘻嘻,2019/12/13 15:52,0.652738,2
Neuropathywj,319908223,多听几遍,2019/12/13 15:50,0.593591,2
CLxhwzy,479069711,独特！,2019/12/13 15:46,0.820177,2
元方芳你怎么看,1784525010,独特，对头！ 强 强 强 ,2019/12/13 15:46,0.944647,2
掉了根眼睫毛,280916677,评论区是我今日的快乐源泉哈哈哈,2019/12/13 15:38,0.712413,2
深海里的鱼180726,1533101868,哈哈哈哈哈哈哈给爷整笑了,2019/12/13 15:31,0.78459,2
12345南南,312876316,满分,2019/12/13 15:29,0.837874,2
未知帐号已注销,338020204,小鱼人在唱歌，呜哇哇哇啊,2019/12/13 15:28,0.715742,2
感化孤儿院,421692607,2分44的呐喊，鸡皮疙瘩起来了 多多捂脸 多多捂脸 多多捂脸 ,2019/12/13 15:27,0.616548,2
玉腿毛绒绒,1424014717,这个歌手的嗓子跟这首很像 Black Sheep Gin Wigmore,2019/12/13 15:25,0.595782,2
想只听SQ品质,107927330,给你朋友一点时间，他就会，真香,2019/12/13 14:57,0.587875,2
呵呵哒6312,251192091,是个狼人,2019/12/13 14:56,0.585205,2
想只听SQ品质,107927330,这些和，越听越喜欢，真香,2019/12/13 14:56,0.77545,2
一屋两人三餐四季五杀六六六九,592248290,我的天，今早英语课上老师放的就是这首歌，有毒吧 ,2019/12/13 14:53,0.579497,2
艾瑞欧西鱼,471652464,加油,2019/12/13 14:50,0.576334,2
I-am-L0ST,402485995,还有被魔鬼舔过的。,2019/12/13 14:48,0.558491,2
-Met-,403746624,好听的像开玩笑唱的一样 西西心动 ,2019/12/13 14:42,0.672644,2
活腻了的蕃茄,52940275,各位好同学们 好！,2019/12/13 14:29,0.717156,2
你真的在想屁吃,305060476,给 冲啊,2019/12/13 14:28,0.563466,2
抖腿小金毛,421273946,下次一定要在动物园放这首歌，让小猴子和我一起跳舞，，，，，，，，，，抖腿也行,2019/12/13 14:26,0.597418,2
班田大灰狼,344388332,对我也想象了一下停不下来哈哈哈哈哈,2019/12/13 14:17,0.933537,2
JJACKYDAWN,134401630,笑死我这个广西人哈哈哈哈哈哈,2019/12/13 14:15,0.814627,2
jujulu87,1488027410,第一次听 好过瘾第二次听 非常过瘾第三次听 超级过瘾 大哭 大哭 大哭 大哭 大哭 ,2019/12/13 14:13,0.98421,2
jujulu87,1488027410,OIC to C to hit the wall a be the 多多笑哭 多多笑哭 多多笑哭 多多笑哭 ,2019/12/13 14:07,0.774762,2
jujulu87,1488027410,What s how Lord how can you can put into fat,2019/12/13 14:05,0.557405,2
jujulu87,1488027410,吸毒吸毒吸毒啊 多多耍酷 多多耍酷 多多耍酷 多多耍酷 ,2019/12/13 14:04,0.825495,2
jujulu87,1488027410,首个太过瘾了一听就要条件反射，就想唱,2019/12/13 14:01,0.581948,2
淦霖梁啊,451141166,加油 ,2019/12/13 13:55,0.576334,2
柔柔lfr,2073994456,呼啊 笑死,2019/12/13 13:55,0.556411,2
我是白久呀,531731138,同一届！加油！,2019/12/13 13:47,0.626443,2
坂屿川,341366922,哈哈哈哈哈哈这个歌有毒,2019/12/13 13:46,0.699272,2
闲看窗外飞花,283519579,想听李荣浩那个好声音冠军唱这首歌,2019/12/13 13:31,0.557247,2
南风过境似水蔓延,627074539,听到这歌，每次脑海里都是菲尼克斯的小丑里，沿着台阶向下跳舞,2019/12/13 13:19,0.751266,2
桔子树花下,645003793,评论那会儿还没999 来着 哈哈哈,2019/12/13 13:10,0.644655,2
Oshwish,1597936933,好的,2019/12/13 12:55,0.79509,2
Oshwish,1597936933,哈哈哈,2019/12/13 12:55,0.725334,2
陆时尧,269265562,加油 ,2019/12/13 12:27,0.576334,2
燕_镇魂女孩,558091016,英语曾老师给我们放了这首歌 喜欢她的美丽与魅力,2019/12/13 12:24,0.941808,2
安全著路,481093888,这首歌第一次分享给我朋友 他说好听 我觉得这个朋友还行,2019/12/13 12:23,0.810791,2
叫旸哥,2030841132,其实这首歌的背景很心酸，是一个街头艺人的故事，有兴趣的可以去了解一下,2019/12/13 12:22,0.865992,2
高考拼了,606430919,同是高三，加油,2019/12/13 12:10,0.605309,2
GN零,1428347164,每天一遍 防止变老,2019/12/13 12:05,0.65482,2
慧瑜09,34223332,哈哈哈 大哭 大哭 大哭 ,2019/12/13 12:03,0.658043,2
Touca,404513343,同山西，大一，大学很美好，你要很努力！ 大笑 ,2019/12/13 11:52,0.891846,2
久腻先生,305137675,希望世界安静 让所有情绪都见鬼.,2019/12/13 11:49,0.700577,2
樱花庄的我,121689797,sorry我是搜被天使掐过的嗓子过来的,2019/12/13 11:46,0.687681,2
白姐姐的迷妹青,540752805,最强宿舍起床去对面男生宿管大爷最爱..........,2019/12/13 11:32,0.821861,2
映射绿萝藤,552014047,早上听歌最有感觉,2019/12/13 11:29,0.627419,2
基耀不娇,1381007424,然而我就是喜欢这种声音,2019/12/13 11:16,0.571721,2
青年先疯队队长GD,107182245,同江苏考生 今年刚高考完 终于熬出头了 你加油阿！,2019/12/13 11:03,0.761624,2
b17599480765,1534333167,。v送春春春春春春 VVVVVVF VVVV 春 春。。。VVDV。。。。。。。 。。不。。。。。。。。。。。。。。春。。。。。。春。v,2019/12/13 10:51,0.710225,2
胆小且卑微的丠輑君,396486028,每天一遍，防止变老,2019/12/13 10:33,0.670372,2
飞天小可爱yy,121335248,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈正无聊看着这个笑晕哈哈哈哈哈,2019/12/13 10:29,0.974525,2
易禾文,384608074,这首歌就是诠释着“真香啊”,2019/12/13 10:25,0.618132,2
大卫路路路2013,1706468019,爱爱爱！！,2019/12/13 10:22,0.595739,2
小-艾登,467384178,xswl哈哈哈哈哈哈哈,2019/12/13 10:16,0.979911,2
秣兮吖,418748130,第一遍 这什么歌啊？好难听啊第二遍 好像有点上头第三遍 真香,2019/12/13 10:05,0.627778,2
kqzy,1337245761,感觉好像是哪个剧里的bgm，似曾相识的感觉呢。,2019/12/13 10:01,0.673567,2
你说的谎言真好听,419576363,坐在视听教室准备上视听课，想着每天的压力生活虽然很累也令人十分自闭，但想着自己也有梦想也从来没想过放弃，高考都熬出来了，专四有什么难得。,2019/12/13 9:56,0.973661,2
福建泉州晋江庄剑烽还钱,1499076054,哈哈哈 陈梓童的吗，我刚听,2019/12/13 9:45,0.585672,2
kenny_berial,505286293,忍不住笑了哈哈哈,2019/12/13 9:32,0.822724,2
乖乖的虾条,263829372, 强 剪头的时候听到的，没刻意去找，我知道总有一天会再次听到的。,2019/12/13 9:28,0.69265,2
中意先生,554812812,这真是神曲，无论什么压力，总是能笑出来，从考研自习室回宿舍的路上就都能扭起来。 哈哈哈哈哈。解压神曲 哈哈哈。,2019/12/13 9:27,0.979578,2
微风lou,1572798010,我好困，,2019/12/13 9:14,0.669212,2
vash荼,447410030,好咳爱,2019/12/13 9:02,0.815489,2
释音Detail,1327271761,男朋友说这歌不好听，我天天逼他听五遍，现在他觉得这歌很棒,2019/12/13 9:01,0.794862,2
抹茶少女Matcha,416920995,哈哈哈哈哈,2019/12/13 9:00,0.931792,2
只想要丶简简单单,273876910,哈哈哈,2019/12/13 8:46,0.725334,2
星火燎塬1704,469481575,鼎国际C座冯小 惊恐 ,2019/12/13 8:37,0.590486,2
23232617,443150126,有点像百变小樱里的歌,2019/12/13 8:35,0.559576,2
星火燎塬1704,469481575,对付高菲 可爱 ,2019/12/13 8:34,0.681063,2
屹二,1614834844,很好听啊啊啊啊啊啊啊啊啊,2019/12/13 8:11,0.637856,2
许玖wkl,549041794,I i i i,2019/12/13 8:09,0.78906,2
本王是小蔡,283985795,挺好的，就是有点费朋友,2019/12/13 7:32,0.809719,2
嗯这个调调,616573783,封面碧梨既视感 大哭 大哭 大哭 ,2019/12/13 7:29,0.573681,2
玉蛊大长老,274063047,多么独特的嗓音啊，跟特么闹着玩似的 ,2019/12/13 7:26,0.727591,2
枉凝眉z,338367029,酒吧听见的，挺好听,2019/12/13 6:20,0.72265,2
熊纠纠气昂昂上山去开炮,79704047,这嗓音，唱腔和咬字听得我一身鸡皮疙瘩,2019/12/13 5:54,0.635469,2
绅士自述,530310119,大晚上的笑死我了,2019/12/13 3:55,0.598312,2
南明哥哥,450057556,这二哈肯定是个艺术家,2019/12/13 3:10,0.580944,2
2000delicatem3nG,311520635,1M听歌识曲过来的，听着就有画面,2019/12/13 2:39,0.750528,2
Bibi-ya,1347611510,越听越来劲.就像韩美娟一样噗哈哈哈,2019/12/13 2:32,0.626467,2
致命子弹,377565719,哈哈,2019/12/13 2:16,0.889247,2
Hang-Low,85714602,bigo全是用这歌跳舞的,2019/12/13 1:41,0.634785,2
卤素丿,380011669,多听几遍就会不一样了,2019/12/13 1:30,0.651727,2
该名称已被我红军儿占用,1534289579,甜肥细腻 极致的小烟囱型烟嗓 大哭 ,2019/12/13 1:17,0.651996,2
零茸,331470823,这个嗓音我爱了,2019/12/13 0:21,0.637764,2
zlzsyq,374062479,哈哈哈哈哈哈哈哈，你成功的把一个非常丧的我，拉回了正常境界。,2019/12/13 0:06,0.964005,2
我爱科比0824,291174839,想认识一个网易云女生 相识音乐 只看三观 只谈品味 不看长相 与性无关 ,2019/12/12 23:53,0.585399,2
咯咯咯格格嗝,314794275,日推过来，瞬间爱上这个嗓音啊啊，真的好听，绝了,2019/12/12 23:46,0.936619,2
葫芦娃七爷爷,2071734681,奇奇妙妙的嗓音 女孩 ,2019/12/12 23:34,0.550676,2
苻尔,2057302500,一如既往排列在前，还是那么好听,2019/12/12 23:31,0.857165,2
半片琥珀心,278407001,这嗓音，是真的独特,2019/12/12 23:31,0.601762,2
二次元花式抖腿总冠军,283525879,嗨起来,2019/12/12 23:30,0.618939,2
谁让我是十八,1485436086,有内味了,2019/12/12 23:28,0.570518,2
熙沐in,394611967,哈哈我也楞个觉得哈哈哈,2019/12/12 23:25,0.927677,2
隔壁村老诸葛,269182549,真的吗。,2019/12/12 23:23,0.570579,2
云雾森林海i,591300152,歌名 舞猴 奸笑 ,2019/12/12 23:16,0.560465,2
用户1301527671,1301527671,一边听一边晃 好爽 ,2019/12/12 23:11,0.849453,2
我爱科比0824,291174839,想认识一个网易云女生 相识音乐 只看三观 只谈品味 不看长相 与性无关 ,2019/12/12 23:11,0.585399,2
倚栏听风Dave,426227254,我下一首推荐正好是sia 晕 ,2019/12/12 22:51,0.628083,2
speaka,40724081,这ugly beauty的嗓音，爱了,2019/12/12 22:45,0.648848,2
iDeicide,1706019868,性感又可爱,2019/12/12 22:37,0.919284,2
灵竹川情君,1582056063,以色事他人能有几时好,2019/12/12 22:37,0.607067,2
老酷洋,1376696382,给 整笑了哈哈哈哈哈哈,2019/12/12 22:32,0.824903,2
想养一只猫513,1686561603,好听好听,2019/12/12 22:31,0.646502,2
4sad_D,429452101,又是在酒吧听到的,2019/12/12 22:15,0.656473,2
如约清酒三两三,1543378509,只要心中音乐 不管别人怎么评价都事不关己,2019/12/12 22:10,0.604446,2
不简单的赫卡拉姆爬行蟹,621046325,有这样的朋友，真的该好好观察一下 撇嘴 ,2019/12/12 22:01,0.582854,2
佐西伯利亚大尾巴狼酒,1513310274,加油加油,2019/12/12 21:58,0.588436,2
葛萧艾,100653712,好上头啊,2019/12/12 21:51,0.759688,2
橘红霉素,512763006,这口音哈哈哈哈哈哈绝了,2019/12/12 21:48,0.860866,2
木子中木衫,564965850,自然联想到 低俗小说 里面的扭扭舞 ,2019/12/12 21:43,0.730341,2
不二王册,1625710769,爱了爱了啊,2019/12/12 21:42,0.59545,2
Vita180226,1383166024,太好听了，一直循环，不管是歌手的音色还是节奏感超强的伴奏，都太有趣太好玩了！,2019/12/12 21:40,0.805797,2
青兹玄,1797543883,这曲挺有感觉的 ,2019/12/12 21:39,0.633053,2
十九州_,262107068,多听几遍就上头了,2019/12/12 21:29,0.558032,2
开心过就好,251913316,带感的很,2019/12/12 21:25,0.825319,2
嘻皮青年,36090196,好久不见，云音乐。最近用小爱挺顺手，可是给我推的音乐呀。。。惨不忍睹,2019/12/12 21:23,0.836523,2
永远喜欢西宫硝子_,435882915,每天一遍，防止变老,2019/12/12 21:17,0.670372,2
上头小杰-,1597571776,美国的,2019/12/12 20:47,0.716687,2
我没有星星_,1688550439,这形容太精辟了啊哈哈哈哈哈,2019/12/12 20:40,0.79906,2
败雾痕,1828213682,听了那么多歌，感觉还是这个最能平复我们心里扭曲的心灵。我们可能就是这么卑微吧，面对自己喜欢的人怎样都无所谓。抛下一切尘世杂念，过好自己，期末考，加油,2019/12/12 20:38,0.871171,2
要我怎么做1707,538748977,来人给国舅赐座,2019/12/12 20:34,0.608361,2
择萝,1377466140,哇哦,2019/12/12 20:34,0.840463,2
账号已经注销丶,442976884,品不同，不相为谋！你懂也,2019/12/12 20:20,0.605129,2
阿狸海2,477671875,突然想起来这是我在今年ATP年终总决赛听到的，纳达尔惊天逆转梅德韦杰,2019/12/12 20:19,0.563864,2
LianShouTATTOO,1855079532,别人的双十二在淘宝浴血奋战 而我们选择在网易云收获快乐 ,2019/12/12 20:15,0.788129,2
大白羊5521,1911689691,加油,2019/12/12 20:07,0.576334,2
晗遘,1489455807,日推 ,2019/12/12 20:04,0.560941,2
Mr___________X,252882577,哈哈哈哈哈,2019/12/12 19:55,0.931792,2
靓仔今天喝奶茶了嗎,1953370884,自我介绍 好看 声音好听 素质高 打游戏强 回消息快,2019/12/12 19:53,0.858955,2
189745,1410153293,顶,2019/12/12 19:48,0.612157,2
迷蒙小白兔,1933632305,赞多交税,2019/12/12 19:43,0.924035,2
猪猪酱__,485722441,好像Mika的 relax take it easy！！！没有听过的可以听一听,2019/12/12 19:40,0.683375,2
浅梦in,1570483299,笑死哈哈哈 hiahiahia,2019/12/12 19:32,0.676177,2
叫我sp,1671159996,我有个习惯，某个阶段特别喜欢一首歌无限循环到听厌为止被封存在歌单下时，从不会想着去删掉它，因为我知道，在未来某一天再次听到时，会无比怀念那段时光，那种喜欢的心情从来没有变过。,2019/12/12 19:28,0.96572,2
射下那颗月亮,449472524,哈哈哈哈哈哈,2019/12/12 19:22,0.832446,2
