name,id,comment,time,positive_prob,sentiment
白色风车aacs,1981968060,爱了爱了,2019/12/13 17:04,1,1
覃湘呀,1406686523,第一次就被控制洗脑了,2019/12/13 17:00,0.482739,1
Y丶老年人,1360195158,小鱼人 撒完尿，就想打我。 大哭 大哭 大哭 ,2019/12/13 16:24,0.483882,1
此生不悔入网易云,1698293316,神评论 多多捂脸 ,2019/12/13 16:23,0.463282,1
alan超人,45972773,节奏神曲,2019/12/13 15:56,0.537186,1
Funny-Clown-like-you,398770651,都是通一个乐队唱的，忘记名字掉，你直接搜就是,2019/12/13 15:52,0.544758,1
Masker1209,316689504,B站来的盆友们你们好！,2019/12/13 15:48,0.532609,1
芒果味的阿雅,55400710,你 打 字 带 空 格,2019/12/13 15:28,0.476209,1
G-7317,268092007,前奏和另外一首歌有点像名字叫啥忘了,2019/12/13 15:22,0.470785,1
AYTZ147258369,1312403499,真香歌曲 ,2019/12/13 15:20,0.501211,1
454醒目没,1537339992,Dance Monkey,2019/12/13 14:50,0.53277,1
Amoronic,1447171652,这歌名和这嗓子真是绝配,2019/12/13 14:38,0.463882,1
十一祝你快乐,610998174,妞批 六六六,2019/12/13 14:36,0.520233,1
bingbinging,300977941,太独特了 大哭 大哭 ,2019/12/13 14:25,0.460593,1
jujulu87,1488027410,哎呦 痛苦 ,2019/12/13 14:22,0.484492,1
穹嚄,1773341725,我也唱的出，只是现在没感冒，喉咙里没有卡一口痰,2019/12/13 14:13,0.452661,1
裳虹殇衣,507566940,法力无边,2019/12/13 14:05,0.539935,1
喇叭正露丸Plus,1553479686,有点印度英语的感觉,2019/12/13 14:02,0.500928,1
似仕,1581905183,这澳洲口音吧 ,2019/12/13 13:33,0.462484,1
Shhusnnxjc,300012722,我的天 吵了好多楼,2019/12/13 13:33,0.505237,1
孫立健720,1294520446,被死神掐过的天使,2019/12/13 13:32,0.46094,1
Wor丶泡面,1779781978,第一次听 什么鬼第二次听 好像还可以第三次听 爱了爱了 大哭 ,2019/12/13 13:25,0.496894,1
