name,id,comment,time,positive_prob,sentiment
不二臣_yh9,1445264204,追书神器,2019/12/13 16:54,0.649088,2.0
白衣忆旧,504628457,反正我也是不了解你这个人，就随便说你个憨憨吧。,2019/12/13 16:53,0.130655,0.0
LYXIAOXIANNUI,1873274672,2018 出山2019 下山2020 移山2021 炸山2022 拼山2023 爬山2024 归山,2019/12/13 16:52,0.669159,2.0
知雪qyl,1540879551,生日快乐,2019/12/13 16:52,0.562611,2.0
白衣忆旧,504628457,别人作品你不是随意评论？不了解就随便说？老子也不晓得你是个什么东西，不了解，我可以随意指指点点你吗？,2019/12/13 16:52,0.017988,0.0
TooFresh米特,261898931,要不要买菜到底是什么神仙 大笑 ,2019/12/13 16:50,0.527025,1.0
我从这路过,1494339991,你给我上酒，我给你叫好！,2019/12/13 16:50, , 
jistuv,1796471301,一会儿出山，一会儿下山的 多多捂脸 ,2019/12/13 16:49,0.512025,1
柳徙南,484830162,haha,2019/12/13 16:49,0.54683,1
optismis,577063143,此剑抚平天下不平事，此剑无愧世间有愧人,2019/12/13 16:49,0.16721,0
忘了吧180415,1429794810,祝我生日快乐 ,2019/12/13 16:48,0.541037,1
周煜耀,1465709120,刚发了新歌 歌名就是自己名字写给自己 希望有人懂来自小众音乐人的呐喊希望就算不好听也可以为我留下评论 大家可以理解我在蹭热度我也做好被骂的准备但还是希望自己的歌有人可以听到,2019/12/13 16:48,0.520406,1
木子明空997,575386950,雪中悍刀行,2019/12/13 16:47,0.50925,1
袅袅兮秋风xy,539824917,怎么突然刷起雪中悍刀行了呀，有关系么，不过我好激动，大爱雪中 大笑 ,2019/12/13 16:47,0.900973,2
再见时眼红,1732785532, 多多大笑 ,2019/12/13 16:47,0.63606,2
心像黑洞,113538026,请问有没有人和我的感觉差不多 听过这类型的歌 很相像的感觉 但我忘记歌名了 谁能推荐一下,2019/12/13 16:47,0.565556,2
做我的玉,1698902955,爱你！！！！！,2019/12/13 16:46,0.658914,2
抹夕1904,1827953227,出山，下山。,2019/12/13 16:44,0.585206,2
恶魔191118,2048769760,前年出山火，今年下山火，那明年是什么山火 多多大笑 ,2019/12/13 16:42,0.588803,2
憨憨一点都不憨,1544025861,最近抖音是真的被那个金刚芭比刷爆了,2019/12/13 16:42, , 
生于希望之中死于绝望之时,1365842144,wdnmd 去年出山 今年下山？,2019/12/13 16:40,0.415985,0
朱夫人0920,1839719697,跪求小说名，谢谢,2019/12/13 16:40,0.766179,2
smashout,527998039,哇，要哭了,2019/12/13 16:40,0.553085,2
解忧杂货店wq,2068793086,枕头 他又哭了被子 嘘！别吵他，他可能累了，让他哭吧，你帮他擦擦眼泪枕头 那你记得抱紧他，别让他着凉了,2019/12/13 16:40,0.1972,0
凌筱1711,644382846,大家好 我是下山兄弟 就爬山 多多笑哭 ,2019/12/13 16:39,0.707126,2
何以离欢171114,1286309104,这个冬天，要不失可爱，要过得热气腾腾,2019/12/13 16:39,0.793933,2
千诺天邢,1549513456,一个出山，一个上山，是不是还要出个爬山啊？,2019/12/13 16:39,0.249712,0
何以离欢171114,1286309104,时间的手总是不肯稽延。但愿明天也会永远新鲜。,2019/12/13 16:38,0.517836,1
年少衣白之我本轻狂,308523292,看到那么多雪中粉，有点莫名感动,2019/12/13 16:38,0.676188,2
敲级阔爱的烟雨,353577147,雪中悍刀行，满书字句皆是江湖,2019/12/13 16:38,0.564287,2
愿吾安心,1453633306,特别喜欢那种气质清冷的人，好似这世间纷乱无一事能扰了他的心，没有过分热络的样子，没有讨好世间的谄笑，他们眼中只有脚下的路，眸子里从不掺杂多余的情绪，却也不是冷漠，只不过将此生所有的柔情都留给了生命里重要的人，与旁人只是淡淡如水的交情，却也装着漫不经心的样子关注着身旁陌路的老人和小,2019/12/13 16:38, , 
角落里的小恶魔,558059838,烧烤的孜然么 大哭 ,2019/12/13 16:37,0.451518,1
聆听世界敏,1796827830, 西西晕了 西西晕了 多多捂脸 多多捂脸 ,2019/12/13 16:37,0.179888,0
夏日南故,410736121,给秀儿搬凳子,2019/12/13 16:36,0.590713,2
遛狗小队长,103855973,一听这个就想到那个可爱的金刚芭比 呆 ,2019/12/13 16:36,0.718806,2
青峰岚雨,114882152,道法孜然是认真的吗， 大哭 大哭 大哭 大哭 大哭 大哭 大哭 ,2019/12/13 16:34,0.711343,2
