name,id,comment,time,positive_prob,sentiment
h_ideonbush_,302577077,我羡慕那些又帅又有钱的男生他们拥有过很多女孩的青春而我只能拼命赚钱才有可能拥有一个爱过别人的姑娘,2019-12-13 17:09:54,0.959383,2.0
傻狍子的声音在笑,514425201,该相信命了,2019-12-13 17:08:24,0.396111,0.0
樱音翼,307076317,我今天做梦了，梦到你给我发了好几条消息，还是语音，结果梦醒了，什么也没有。,2019-12-13 17:07:24,0.155637,0.0
你不识风月,625057421,他只字未提我爱你 你句句都是我愿意,2019-12-13 17:06:16,0.360909,0.0
隔壁_小錢,1333940985,干干净净的男孩子最应该值得珍惜啊,2019-12-13 17:05:12,0.918217,2.0
萧何的九九年,1593825482,悲伤这种情绪本来就是一个人的事情，和孤单一样,2019-12-13 17:03:57,0.372283,0.0
zjkt,359866192,当你第一次伤透我的时候我就对你没了当初的那份纯洁的爱 现在也还是爱 但夹杂了很多东西。,2019-12-13 17:02:23, , 
卡死啦咯,1515157677,昨天在一起不管结局怎样，我都会陪你走下去，韩梦菲,2019-12-13 16:57:49,0.467013,1
o偏偏喜欢你o,132730902,我想给你的爱情可能不够轰轰烈烈，但绝对经得起时间考验，历久弥新，可惜你再也回不来了,2019-12-13 16:56:56,0.304617,0
小房子h,431803327,我很痛 痛到不知道怎么办 想哭又不敢哭 明天还要见人,2019-12-13 16:56:53,0.390233,0
小房子h,431803327,他以前会来看我的网易 现在已经很久没来了 万万 你 会来吗,2019-12-13 16:55:58,0.317538,0
抱走你的小zhu,405467019,明明不会喜欢上我，却给我一种喜欢我的错觉。,2019-12-13 16:54:59, , 
我的孤独虽败犹荣独一无二,1483096720,加油喔 O,2019-12-13 16:53:39,0.705989,2
-kikikuku-,291621801,陈晓杰,2019-12-13 16:49:16,1,1
小房子h,431803327,是我对不起他,2019-12-13 16:47:59,0.251649,0
彼岸九尾妖狐,535018288,我为你拔干净身上的刺，迁就你嚣张，曾经多么高贵的我，为你低下头，到头来一无所获,2019-12-13 16:47:32,0.612599,2
该用户以注销-_-,476896715,影流之主,2019-12-13 16:47:23,0.797279,2
pinkzyy_,1736397526,看见你们的评论还是很想去了解 但是 我不想遇见下个他也不必遇见 可能我这一刻想清了 可能也好荒谬 我才十几岁 我要为未来努力 愿你们也是,2019-12-13 16:46:42,0.630267,2
-枪没你一半无情,645115354,我想去试试，不像后悔了！！！,2019-12-13 16:46:07, , 
小房子h,431803327,我思考了很久 朋友说 你要是去找他 然后人都看不见 又失落落的回来 请不要来找我哭 你再提和这个男人有关的话题 我们就绝交 但我还是要去 如果两天见不到人 我就回来 好好学习 练琴 画画 跳舞 把欠老师的所有课 全部上完 失去了这个男孩 我就做个自己吧,2019-12-13 16:46:04,0.0395056,0
1--direction,544803452,听一遍，哭一遍 ,2019-12-13 16:44:15,0.588785,2
西片丶同学,1395206948,说的对，这个世界最不缺的就是漂亮女孩了,2019-12-13 16:42:54,0.0514845,0
我在等下一阵风,608531440,我说我什么都不要我只要你的人和你的心，你把我的手放在你的胸口说它在砰砰的跳。,2019-12-13 16:42:51,0.301975,0
蓓千蓓,1773699682,红尘万般皆苦，你再也不是我的救赎。,2019-12-13 16:42:06,0.191735,0
辭蓠,381530989,永远别爱一个人超过爱自己,2019-12-13 16:41:59,0.431131,0
吾名陨湫,1764850423,但凡有点智商，你也不会蠢成这样,2019-12-13 16:41:41, , 
小房子h,431803327,后悔吗 没有提前低头 现在好像已经来不及了 他变了个人 不再是要陪我去西藏的人 也不再是那个温温柔柔告诉我会一直在的万万了 开始凶我 开始觉得我不耐烦 告诉我结束了 说我很烦 求我不要打扰他 我怎么办呢 忍吗 1月20号的机票已经买好了 准备放假去找他 他的回复是 别来 来我也搬家了 能找到我再说吧,2019-12-13 16:39:45,0.039458,0
hdjdndijdjdjd,1883472236,他自以为我因为游戏里认识的离开了他，可我玩这个游戏完全是因为他，,2019-12-13 16:35:28,0.686689,2
庸人自扰rrj,1840505399,bapbeiz,2019-12-13 16:34:47,1,1
hdjdndijdjdjd,1883472236,我明明因为失望离开你你却以为我不喜欢你了,2019-12-13 16:34:14,0.0126645,0
用户1749762898,1749762898,喜欢就会放肆，但爱就是克制.,2019-12-13 16:33:37, , 
我醉喝,277823564,我把这首歌推给你你说我嫉妒你日子过的好,2019-12-13 16:33:25,0.60549,2
韵-yun_,326234166,嗯哼！,2019-12-13 16:32:13,0.505989,1
韵-yun_,326234166,对的,2019-12-13 16:31:48,0.647202,2
夏璐lll,2013026496,初听不知曲中意，再听已是曲中人。 日子过得真快啊，一转眼都变成，我们曾经最讨厌的模样，人生过得如此悲催， 哀伤 哀伤 ,2019-12-13 16:28:34,0.620334,2
旧情暖深秋,2068029924,我真的也很想嚣张一次，漫天星都是你。,2019-12-13 16:25:59,0.373523,0
跑着去遇见你-,1298138917,我要怎么把有恃无恐学会 才不会在辗转难眠的夜里每次都假装入睡,2019-12-13 16:19:57,0.349828,0
浓淡相宜间,262476167,你成就了谁的嚣张,2019-12-13 16:19:07,0.247163,0
