name,id,comment,time,positive_prob,sentiment
甜甜的泡泡糖yu,2029621747,刚放假吗 ,2019-12-13 16:52:50,0.363486,0.0
呆宝妈,34971265,再温暖一些，再多给些爱。,2019-12-13 16:52:47,0.752902,2.0
星星在看着你们,2068109899,是因为 那些旁白 那些姿态 那些伤害,2019-12-13 16:52:41,0.602769,2.0
阿言iu,542447725,失去的留在过去 但是未来我一定不会放下 我曾矗立山巅 也曾跌落谷底 也许过去的故事我给不了答案 新的的篇章已经开启 也许人们会说你变了 但是我知道唯一不变的是自己不曾放弃自己 不曾放弃过希望,2019-12-13 16:52:36,0.29433,0.0
孟春仲夏,533397392,可以，多拿去让听众知道这首歌，也算不枉大哥的心血,2019-12-13 16:52:36,0.61452,2.0
編號零柒零肆,438554018,我用了三块钱买了仅存的一点温暖,2019-12-13 16:52:16,0.649141,2.0
是华绒绒啊19,2073641406,我在这,2019-12-13 16:52:00,0.545208,1.0
Tolan---,383478816,最近迷华晨宇 不要不要的,2019-12-13 16:51:36,0.814959,2.0
用户2041705067,2041705067,希望你开心,2019-12-13 16:51:34,0.576941,2.0
声声遇,492141531,最后一句话太美了 憨笑 ,2019-12-13 16:51:14,0.439625,0.0
花花快来吃肉肉,309520382,突然流眼泪,2019-12-13 16:50:51,0.463094,1.0
宋宋宋宋锦耶,1431536325,终于是等到了啊。爱你花花。,2019-12-13 16:50:26,0.72351,2.0
层层冰川_,66489363,宝贝我爱你。希望明天考试顺利。 ,2019-12-13 16:50:13,0.73768,2.0
ssveryaiss,1362067195,谢谢你为抑郁症发声,2019-12-13 16:50:05,0.608697,2.0
yu家的PS4,1453713450,想你啦,2019-12-13 16:50:04,0.534318,1.0
小小小柚,59304798,坚持住陌生人 ,2019-12-13 16:49:52,0.657556,2.0
杜你在,348114023,夕阳西下 接通电话 是你呀,2019-12-13 16:49:21,0.443152,0.0
灰暗暗黑,2068117421,当你的笑容绽开这世界突然填满 色彩,2019-12-13 16:49:07,0.454004,1.0
少TM来这套,1379841833,抑郁症的我 开心 ,2019-12-13 16:49:02,0.711086,2.0
-陈文丽,1959522181,为什么跟着他哼着哼着突然就流泪了呢？,2019-12-13 16:48:44,0.198707,0.0
Hcyyyyyyy大宝贝,356591613,伤疤就丢给回忆吧,2019-12-13 16:48:36,0.464281,1.0
尹苏苏苏苏苏苏苏苏,644569633,我想你了，,2019-12-13 16:48:33,0.551231,2.0
芒果果xixi,1961016809,她以为你很坚强，她也不懂你。她过的很好，只有自己一个人在挣扎，在回忆里在生活里，独自挣扎，而她也有了新的朋友。算了吧，这也足够了。我以这样的方式结束，告别多少次，最后才走得彻底 星星 星星 星星 ,2019-12-13 16:48:00,0.809276,2.0
华晨宇yu的girl,1328347885,我爱你 爱心 花,2019-12-13 16:47:59,0.547076,1.0
jjjoooee,453516138,可以跟我说啊,2019-12-13 16:47:26,0.69074,2.0
尹苏苏苏苏苏苏苏苏,644569633,哈哈哈好想他，,2019-12-13 16:47:17,0.712402,2.0
jjjoooee,453516138,想诉苦的时候,2019-12-13 16:47:15,0.511944,1.0
矫情的措辞结构经历过的人会懂,500852064,我好想哭啊,2019-12-13 16:47:12,0.553834,2.0
六毛一1812,1672556821,整个2019年，对于我发生太多的令人窒息的事情，纯白的它到现在一步步的全都漆黑了，我的2019是全黑的，被压抑的情绪不知如何表达，我也不知道在表达什么，一整年一件件的事情都扛过来了，我多么希望这一年赶快过去，可这个十二月不到半个月怎么就接二连三的击碎我最后的坚强。我是真的坚强不下去了。,2019-12-13 16:47:04,0.0361431,0.0
jjjoooee,453516138,希望你能被世界温柔对待,2019-12-13 16:46:59,0.41334,0.0
by-一目,436995668,我爱你,2019-12-13 16:46:48,0.564839,2.0
再没破晓_,404573843,我爱你,2019-12-13 16:46:34,0.564839,2.0
掘土派Ula,56903015,当你的笑容绽开 这世界突然填满色彩,2019-12-13 16:46:29,0.454004,1.0
华卷卷麦266,2069522115,夕阳西下接通电话是你呀,2019-12-13 16:45:38,0.443152,0.0
浩渺天地之间萌生尘埃,2061648747,不想离开当你的笑容绽开这世界突然填满 色彩,2019-12-13 16:44:58,0.486571,1.0
-乐于-,1796612006,我好爱啊,2019-12-13 16:44:09,0.858535,2.0
