name,id,comment,time,positive_prob,sentiment
Aaa小小怪,1830701414,人不能两次踏入同一条河流，因为无论是这条河还是这个人都已经不同。,2019-12-13 16:50:32,0.366123,0.0
EricWinfield,1342502752,奥利给,2019-12-13 16:50:30,0.570586,2.0
veirbiu,125181616,一打开 这声音 酥了 薛之谦你到底可以多温柔 ,2019-12-13 16:50:30,0.640314,2.0
住在深海的大菠萝A,1731068428,我知道你在赶来的路上 穿越人海后一定要紧紧抱住我,2019-12-13 16:50:20,0.541763,1.0
xzqdfs,635863823,你是我缺一不可的人 我不能没有你,2019-12-13 16:50:20,0.551306,2.0
daXaaaa,1378277401,“有一天晚上 梦一场你白发苍苍 说带我流浪.”,2019-12-13 16:50:01, , 
爹爹YF,430232908,愿前程似锦,2019-12-13 16:49:53,0.61842,2
我的晴天女孩_,615918438,快告诉我，你在赶来的路上！,2019-12-13 16:49:44,0.57459,2
xzqdfs,635863823,我还是抵抗不了你的声音 我必须控制自己别疯狂的想你 薛之谦,2019-12-13 16:49:32,0.284794,0
失重现象,294186567,没人来打扰，这故事挺好,2019-12-13 16:49:27,0.801752,2
耳朵被阿薛怪坏,1756239087,一直在。,2019-12-13 16:49:19, , 
予你万千欢喜_,1637850635,爱了,2019-12-13 16:49:17,0.759079,2
你是滚烫星河,612825819,这个女孩难道不算坏人吗,2019-12-13 16:49:15,0.136418,0
SSS930910,1461166338,正在循环中,2019-12-13 16:49:14, , 
十七七十_,1905849139,我只是个普通人啊，不能那么那么的爱你,2019-12-13 16:49:11,0.610107,2
欧巴了解一下,1689041649,你在来的路上，但我不会等你了。,2019-12-13 16:49:02,0.113749,0
池夫-,2053926120,我想你抛下一切 跟我去流浪,2019-12-13 16:48:57,0.632616,2
是凌云凌云啦,1361317311,李星宇 我说的可以和你去广州，是认真的,2019-12-13 16:48:57,0.795949,2
尘--木偶人,1674372575,新歌打卡,2019-12-13 16:48:53, , 
Echosssss_______,318076210,这条评论也让我泪目,2019-12-13 16:48:44,0.469043,1
周煜耀,1465709120,刚发了新歌 歌名就是自己名字写给自己 希望有人懂来自小众音乐人的呐喊希望就算不好听也可以为我留下评论 大家可以理解我在蹭热度我也做好被骂的准备但还是希望自己的歌有人可以听到,2019-12-13 16:48:41,0.520406,1
你是滚烫星河,612825819,前程似锦,2019-12-13 16:48:30,0.541531,1
Echosssss_______,318076210,是的是的 流泪 ,2019-12-13 16:48:24,0.599888,2
槿城花巷_,2068030988,一个人的冬天我紧紧抱住我寄几,2019-12-13 16:48:16,0.492555,1
赖冠霖produce,1928146275,前程似锦。,2019-12-13 16:48:05,0.569559,2
安琪不拉,1689952743,服了你了,2019-12-13 16:47:54,0.311852,0
等着你归来190907,1937975225,白发苍苍，仍听你唱,2019-12-13 16:47:35,0.482312,1
网名还不能重,1822893126,单曲循环中.,2019-12-13 16:47:30, , 
__Yohi,127171986,想让奶奶再抱抱我,2019-12-13 16:47:23,0.35348,0
Eric柠檬加醋,1494213058,12.13。放学的公交车上。我偷偷瞄着她... 这样也挺好,2019-12-13 16:46:55,0.777956,2
尘薛之谦,1847948711,这里用得原意,2019-12-13 16:46:51,0.593917,2
厘聿,328055689,3 04秒 我听到了呲口水的声音,2019-12-13 16:46:37,0.538532,1
姜笑笑有点好,1831338132,如果 如果 你回头找我 我会陪你一起吃所有 所有生活的苦。,2019-12-13 16:46:10,0.349239,0
遗憾也会像风一样离去,1929313254,没人来打扰 这故事挺好 安安静静 我一个人挺好,2019-12-13 16:45:47,0.861137,2
肖晓fighting,1513250658,等你，期望救赎。,2019-12-13 16:45:18,0.301581,0
不灭耀阳11,347929639,我想要陪你去流浪。。,2019-12-13 16:45:04,0.587701,2
妍娩,1749587577,我也想陪你流浪.,2019-12-13 16:44:44, , 
半疯半单纯1904,1838667200,想陪你去流浪，但你说我不去流浪 ,2019-12-13 16:44:38,0.177088,0
浪子阿jing,1513287722,如果没有温暖怀抱，那就穿件厚厚外套,2019-12-13 16:44:07,0.662322,2
我好像在哪见过你恩,68269959,这一次 我也等到了深夜 但我没有去评论,2019-12-13 16:44:01, , 
Kongnivol,337316092,祝幸福 ,2019-12-13 16:43:59,0.537225,1
