name,id,comment,time,positive_prob,sentiment,pre_sentiment
ititcurry,250248804,同年高考 一起加油,2019-12-19 22:47:23,0.682689,2.0,2.0
热爱奋斗,355814609,怎么有一些歌就是刚听觉得一般，听多几遍就会觉得 哎哟 不错哦！,2019-12-19 22:47:11,0.848194,2.0,2.0
大衿8,564623796,分享一个小众文艺的众号 Blue Afternoon 给 泥萌,2019-12-19 22:47:10,0.788868,2.0,2.0
ukumiao,328679858,你飞吧，我真的很喜欢人间,2019-12-19 22:47:06,0.714162,2.0,2.0
如此多娇Sunny,1530251108,高考加油！,2019-12-19 22:46:56,0.664971,2.0,2.0
御闻舟,438007008,我我我，试试 多多大哭 ,2019-12-19 22:46:50,0.652782,2.0,2.0
久宅臂弯,403765382,天会晴就会暗，你从未得知我遭遇的那些苦难。,2019-12-19 22:46:48,0.539167,1.0,2.0
起名好难呐,1679847893,很喜欢,2019-12-19 22:46:37,0.920175,2.0,2.0
赤州中正--Desh帝史,1490860250,爱了，爱了，爱了，单曲循环 ,2019-12-19 22:46:37,0.938674,2.0,2.0
單城府丶190623,1891096556,签到。,2019-12-19 22:46:19,0.634048,2.0,2.0
壄鵺,1917831377,哇塞，看到荣浩亲自回评论哦，希望被翻到 西西机智 ,2019-12-19 22:46:00,0.803074,2.0,2.0
风起雪沙痕,571955719,日子总会好起来的，只要我们去认真对待，加油吧，不为别人，为自己,2019-12-19 22:45:56,0.845861,2.0,2.0
zhang-YR-,1823733056,为过一个简单而又快乐寒假而努力，加油,2019-12-19 22:45:54,0.77096,2.0,2.0
北柠陌寒1802,1358326579,什么？,2019-12-19 22:45:52,0.236573,0.0,0.0
小豪最卑微,1443282138,老大，好想得到你的一句祝福 20年高考加油,2019-12-19 22:45:25,0.838202,2.0,2.0
4岁就很皮呢,1734435279,那只鲸叫Alice，但是科学家已经治好了她的病，她也可以和同类交流了呢。,2019-12-19 22:45:18,0.773801,2.0,2.0
大神LIGOUDAN,360224597,荣浩大哥也太强了 这么宠粉嘛,2019-12-19 22:45:13,0.442373,0.0,1.0
撒手放狗,392649560,加油,2019-12-19 22:45:01,0.576334,2.0,2.0
-4991909,1740852751,加油哦，陌生人，你会成功的哦，我也在路上,2019-12-19 22:44:59,0.890727,2.0,2.0
下半生1806,1483441157,曾也想飞上雪山之颠 却忘记是只麻雀,2019-12-19 22:44:56,0.539201,1.0,2.0
杨皓元哟,52691269,额，我想起了狂浪哈哈哈哈哈哈哈,2019-12-19 22:44:33,0.803754,2.0,2.0
丶染墨若流云,1303151958,独身在异地，总感觉 ,2019-12-19 22:44:17,0.643781,2.0,2.0
大先生关海洋,112081163, 写给李荣浩 是我为你写的歌。因为你，我开始自学编曲，吉他，这首歌向你致敬。我也许永远只是一只小麻雀，但是能追随这么优秀的老大，值了。我未来会像你一样写出更多治愈人心的歌。鲸鱼好爱你李荣浩 全世界爱你老李,2019-12-19 22:44:06,0.968077,2.0,2.0
